Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Auswärts:  SpVgg Zolling II - Junioren 18 (4er), 2025-05-03, 9:00 AM, 2025-05-03, 2:00 PM, false, , 
Heimspiel:  Herren - TuS Alztal Garching, 2025-05-04, 9:00 AM, 2025-05-04, 2:00 PM, false, , 
Auswärts:  TF Dachau - Herren 70 (4er), 2025-05-05, 11:00 AM, 2025-05-05, 4:00 PM, false, , 
Heimspiel:  Bambini 12 (4er) - TSV St.Wolfgang, 2025-05-10, 9:00 AM, 2025-05-10, 2:00 PM, false, , 
Heimspiel:  Bambini 12 II (4er) - SV Neufraunhofen, 2025-05-10, 9:00 AM, 2025-05-10, 2:00 PM, false, , 
Auswärts:  TC Vaterstetten - Junioren 18 (4er), 2025-05-10, 9:00 AM, 2025-05-10, 2:00 PM, false, , 
Auswärts:  TV Dürnbach - Juniorinnen 18 (4er), 2025-05-10, 9:00 AM, 2025-05-10, 2:00 PM, false, , 
Heimspiel:  Herren 50 - TC Rot-Weiß Landshut, 2025-05-10, 2:00 PM, 2025-05-10, 7:00 PM, false, , 
Auswärts:  TC Hofkirchen - Damen 50 (4er), 2025-05-10, 2:00 PM, 2025-05-10, 7:00 PM, false, , 
Auswärts:  SV Oberbergkirchen - Herren 30, 2025-05-10, 2:00 PM, 2025-05-10, 7:00 PM, false, , 
Heimspiel:  Herren 40 (4er) - TV Obing, 2025-05-10, 2:00 PM, 2025-05-10, 7:00 PM, false, , 
Heimspiel:  Herren II - TC Oberding II, 2025-05-11, 9:00 AM, 2025-05-11, 2:00 PM, false, , 
Auswärts:  SpVgg Jettenbach - Herren, 2025-05-11, 9:00 AM, 2025-05-11, 2:00 PM, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - TSV Neumarkt St.Veit, 2025-05-11, 3:00 PM, 2025-05-11, 8:00 PM, false, , 
Heimspiel:  Herren 70 (4er) - FC 74 München, 2025-05-12, 11:00 AM, 2025-05-12, 4:00 PM, false, , 
Auswärts:  TC Haag - Dunlop Kleinfeld U9 (4er), 2025-05-16, 3:00 PM, 2025-05-16, 8:00 PM, false, , 
Auswärts:  VfL Waldkraiburg - Bambini 12 (4er), 2025-05-17, 9:00 AM, 2025-05-17, 2:00 PM, false, , 
Heimspiel:  Junioren 18 (4er) - TC Zorneding, 2025-05-17, 9:00 AM, 2025-05-17, 2:00 PM, false, , 
Heimspiel:  Juniorinnen 18 (4er) - DJK Rosenheim II, 2025-05-17, 9:00 AM, 2025-05-17, 2:00 PM, false, , 
Heimspiel:  Damen 50 (4er) - TC Karlsfeld am See, 2025-05-17, 2:00 PM, 2025-05-17, 7:00 PM, false, , 
Auswärts:  TC Erding - Herren 30, 2025-05-17, 2:00 PM, 2025-05-17, 7:00 PM, false, , 
Heimspiel:  Herren 40 (4er) - TC Aßling, 2025-05-17, 2:00 PM, 2025-05-17, 7:00 PM, false, , 
Heimspiel:  Damen 40 - TC Scheyern, 2025-05-18, 9:00 AM, 2025-05-18, 2:00 PM, false, , 
Auswärts:  TSV Buchbach - Herren 60 (4er), 2025-05-18, 9:00 AM, 2025-05-18, 2:00 PM, false, , 
Auswärts:  TC Taufkirchen - Herren II, 2025-05-18, 9:00 AM, 2025-05-18, 2:00 PM, false, , 
Auswärts:  SV Schloßberg-Stephansk. - Herren 50, 2025-05-18, 10:00 AM, 2025-05-18, 3:00 PM, false, , 
Auswärts:  TV Kraiburg - Dunlop Midcourt U10 (4er), 2025-05-18, 3:00 PM, 2025-05-18, 8:00 PM, false, , 
Auswärts:  TP Lichtenfels - Herren 70 (4er), 2025-05-19, 11:00 AM, 2025-05-19, 4:00 PM, false, , 
Auswärts:  TeG Wasserburg-Reitmehring - Dunlop Kleinfeld U9 (4er), 2025-05-23, 3:00 PM, 2025-05-23, 8:00 PM, false, , 
Heimspiel:  Bambini 12 (4er) - TC Isen, 2025-05-24, 9:00 AM, 2025-05-24, 2:00 PM, false, , 
Heimspiel:  Bambini 12 II (4er) - TC Grün-Weiß Vilsbiburg III, 2025-05-24, 9:00 AM, 2025-05-24, 2:00 PM, false, , 
Auswärts:  TC Erding - Junioren 18 (4er), 2025-05-24, 9:00 AM, 2025-05-24, 2:00 PM, false, , 
Heimspiel:  Juniorinnen 18 (4er) - SG Hausham, 2025-05-24, 9:00 AM, 2025-05-24, 2:00 PM, false, , 
Heimspiel:  Herren 30 - TC Isen, 2025-05-24, 2:00 PM, 2025-05-24, 7:00 PM, false, , 
Heimspiel:  Herren 40 (4er) - SV Walpertskirchen II, 2025-05-24, 2:00 PM, 2025-05-24, 7:00 PM, false, , 
Auswärts:  TuS Traunreut - Herren 50, 2025-05-24, 2:00 PM, 2025-05-24, 7:00 PM, false, , 
Auswärts:  TC Taufkirchen - Herren 60 (4er), 2025-05-25, 9:00 AM, 2025-05-25, 2:00 PM, false, , 
Heimspiel:  Herren - SV Hohenlinden, 2025-05-25, 9:00 AM, 2025-05-25, 2:00 PM, false, , 
Auswärts:  TC Isen - Herren II, 2025-05-25, 9:00 AM, 2025-05-25, 2:00 PM, false, , 
Auswärts:  SV Lohhof - Damen 50 (4er), 2025-05-25, 10:00 AM, 2025-05-25, 3:00 PM, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - VfL Waldkraiburg, 2025-05-25, 3:00 PM, 2025-05-25, 8:00 PM, false, , 
Heimspiel:  Herren 70 (4er) - NHTC Nürnberg HP, 2025-05-26, 11:00 AM, 2025-05-26, 4:00 PM, false, , 
Heimspiel:  Damen 40 - TV Nandlstadt, 2025-05-29, 9:00 AM, 2025-05-29, 2:00 PM, false, , 
Auswärts:  VfL Waldkraiburg - Dunlop Kleinfeld U9 (4er), 2025-05-30, 3:00 PM, 2025-05-30, 8:00 PM, false, , 
Auswärts:  TSV Buchbach II - Bambini 12 II (4er), 2025-05-31, 9:00 AM, 2025-05-31, 2:00 PM, false, , 
Heimspiel:  Herren 60 (4er) - SpVgg Altenerding, 2025-05-31, 2:00 PM, 2025-05-31, 7:00 PM, false, , 
Heimspiel:  Herren 50 - TC Ottobrunn, 2025-05-31, 2:00 PM, 2025-05-31, 7:00 PM, false, , 
Auswärts:  TSV St.Wolfgang - Herren 40 (4er), 2025-05-31, 2:00 PM, 2025-05-31, 7:00 PM, false, , 
Auswärts:  SV Gendorf Burgkirchen - Herren, 2025-06-01, 9:00 AM, 2025-06-01, 2:00 PM, false, , 
Heimspiel:  Herren II - SpVgg Altenerding, 2025-06-01, 9:00 AM, 2025-06-01, 2:00 PM, false, , 
Heimspiel:  Damen 50 (4er) - TF Dachau, 2025-06-01, 10:00 AM, 2025-06-01, 3:00 PM, false, , 
Auswärts:  TC Isen - Dunlop Midcourt U10 (4er), 2025-06-01, 3:00 PM, 2025-06-01, 8:00 PM, false, , 
Heimspiel:  Herren 70 (4er) - TC Schönb. Aschaffenburg HP, 2025-06-02, 11:00 AM, 2025-06-02, 4:00 PM, false, , 
Auswärts:  GW Luitpoldpark München - Herren 70 (4er), 2025-06-23, 11:00 AM, 2025-06-23, 4:00 PM, false, , 
Heimspiel:  Dunlop Kleinfeld U9 (4er) - TC Schnaitsee, 2025-06-27, 3:00 PM, 2025-06-27, 8:00 PM, false, , 
Auswärts:  TeG Mühldorf - Juniorinnen 18 (4er), 2025-06-28, 9:00 AM, 2025-06-28, 2:00 PM, false, , 
Auswärts:  TV Hölsbrunn - Bambini 12 II (4er), 2025-06-28, 9:00 AM, 2025-06-28, 2:00 PM, false, , 
Heimspiel:  Herren 60 (4er) - VfB Hallbergmoos, 2025-06-28, 2:00 PM, 2025-06-28, 7:00 PM, false, , 
Auswärts:  Münchner Sportclub - Damen 50 (4er), 2025-06-28, 2:00 PM, 2025-06-28, 7:00 PM, false, , 
Heimspiel:  Herren 30 - TF Eitting, 2025-06-28, 2:00 PM, 2025-06-28, 7:00 PM, false, , 
Auswärts:  SV Oberbergkirchen - Bambini 12 (4er), 2025-06-28, 2:00 PM, 2025-06-28, 7:00 PM, false, , 
Heimspiel:  Herren - SV Wacker Burghausen II, 2025-06-29, 9:00 AM, 2025-06-29, 2:00 PM, false, , 
Auswärts:  DJK-SV Oberndorf - Herren II, 2025-06-29, 9:00 AM, 2025-06-29, 2:00 PM, false, , 
Auswärts:  TC Neuperlach-Kail München - Herren 50, 2025-06-29, 10:00 AM, 2025-06-29, 3:00 PM, false, , 
Auswärts:  TC Schrobenhausen - Herren 70 (4er), 2025-06-30, 11:00 AM, 2025-06-30, 4:00 PM, false, , 
Heimspiel:  Dunlop Kleinfeld U9 (4er) - SV Aschau/Inn, 2025-07-04, 3:00 PM, 2025-07-04, 8:00 PM, false, , 
Auswärts:  TC Rot-Weiß Freising II - Junioren 18 (4er), 2025-07-05, 9:00 AM, 2025-07-05, 2:00 PM, false, , 
Heimspiel:  Juniorinnen 18 (4er) - TC Bad Reichenhall, 2025-07-05, 9:00 AM, 2025-07-05, 2:00 PM, false, , 
Heimspiel:  Bambini 12 (4er) - TSV Obertaufkirchen, 2025-07-05, 9:00 AM, 2025-07-05, 2:00 PM, false, , 
Auswärts:  TSV Altfraunhofen - Bambini 12 II (4er), 2025-07-05, 9:00 AM, 2025-07-05, 2:00 PM, false, , 
Auswärts:  TC Grün-Weiß Vilsbiburg - Herren 60 (4er), 2025-07-05, 2:00 PM, 2025-07-05, 7:00 PM, false, , 
Auswärts:  TC Hengersberg - Herren 50, 2025-07-05, 2:00 PM, 2025-07-05, 7:00 PM, false, , 
Heimspiel:  Damen 50 (4er) - TeG Kirchheim, 2025-07-05, 2:00 PM, 2025-07-05, 7:00 PM, false, , 
Heimspiel:  Herren 30 - TSV Altfraunhofen, 2025-07-05, 2:00 PM, 2025-07-05, 7:00 PM, false, , 
Auswärts:  TC Topspin - Herren 40 (4er), 2025-07-05, 2:00 PM, 2025-07-05, 7:00 PM, false, , 
Auswärts:  TSV Allershausen II - Damen 40, 2025-07-06, 9:00 AM, 2025-07-06, 2:00 PM, false, , 
Auswärts:  TV Hölsbrunn - Herren, 2025-07-06, 9:00 AM, 2025-07-06, 2:00 PM, false, , 
Heimspiel:  Herren II - SV Walpertskirchen, 2025-07-06, 9:00 AM, 2025-07-06, 2:00 PM, false, , 
Heimspiel:  Dunlop Midcourt U10 (4er) - SV Neufraunhofen, 2025-07-06, 3:00 PM, 2025-07-06, 8:00 PM, false, , 
Heimspiel:  Junioren 18 (4er) - TC Topspin II, 2025-07-12, 9:00 AM, 2025-07-12, 2:00 PM, false, , 
Auswärts:  TSV 1860 Rosenheim - Juniorinnen 18 (4er), 2025-07-12, 9:00 AM, 2025-07-12, 2:00 PM, false, , 
Auswärts:  TSV Buchbach - Bambini 12 (4er), 2025-07-12, 9:00 AM, 2025-07-12, 2:00 PM, false, , 
Heimspiel:  Bambini 12 II (4er) - TC Taufkirchen, 2025-07-12, 9:00 AM, 2025-07-12, 2:00 PM, false, , 
Auswärts:  FC Schweitenkirchen - Damen 40, 2025-07-12, 2:00 PM, 2025-07-12, 7:00 PM, false, , 
Heimspiel:  Herren 60 (4er) - TC Erding, 2025-07-12, 2:00 PM, 2025-07-12, 7:00 PM, false, , 
Heimspiel:  Herren 50 - SV Pang, 2025-07-12, 2:00 PM, 2025-07-12, 7:00 PM, false, , 
Auswärts:  TC Gernlinden II - Damen 50 (4er), 2025-07-12, 2:00 PM, 2025-07-12, 7:00 PM, false, , 
