Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Heimspiel:  Herren 30 - VfL Waldkraiburg, 2026-05-02, 1:00 PM, 2026-05-02, 6:00 PM, false, , 
Auswärts:  TuS Traunreut - Damen 40, 2026-05-02, 1:00 PM, 2026-05-02, 6:00 PM, false, , 
Heimspiel:  Junioren 18 (4er) - SV Unterneukirchen, 2026-05-09, 9:00 AM, 2026-05-09, 2:00 PM, false, , 
Auswärts:  SV Aschau/Inn - Bambini 12 II (4er), 2026-05-09, 9:00 AM, 2026-05-09, 2:00 PM, false, , 
Heimspiel:  Bambini 12 (4er) - SV Walpertskirchen, 2026-05-09, 9:00 AM, 2026-05-09, 2:00 PM, false, , 
Auswärts:  SV Gendorf Burgkirchen - Herren 60 (4er), 2026-05-09, 1:00 PM, 2026-05-09, 6:00 PM, false, , 
Heimspiel:  Herren 50 - Münchner Sportclub, 2026-05-09, 2:00 PM, 2026-05-09, 7:00 PM, false, , 
Auswärts:  TF Markt Schwaben - Damen 50 (4er), 2026-05-09, 2:00 PM, 2026-05-09, 7:00 PM, false, , 
Heimspiel:  Herren 40 (4er) - TSV St.Wolfgang, 2026-05-09, 2:00 PM, 2026-05-09, 7:00 PM, false, , 
Heimspiel:  Herren - SV Gendorf Burgkirchen, 2026-05-10, 9:00 AM, 2026-05-10, 2:00 PM, false, , 
Auswärts:  TC Schwindegg - Herren II, 2026-05-10, 9:00 AM, 2026-05-10, 2:00 PM, false, , 
Auswärts:  VfL Waldkraiburg - Damen (4er), 2026-05-10, 9:00 AM, 2026-05-10, 2:00 PM, false, , 
Auswärts:  VfL Waldkraiburg - Dunlop Midcourt U10 (4er), 2026-05-10, 3:00 PM, 2026-05-10, 8:00 PM, false, , 
Auswärts:  SpVgg Jettenbach - Damen (4er), 2026-05-14, 9:00 AM, 2026-05-14, 2:00 PM, false, , 
Auswärts:  TC Oberding II - Dunlop Kleinfeld U9 (4er), 2026-05-15, 3:00 PM, 2026-05-15, 8:00 PM, false, , 
Auswärts:  TC Taufkirchen - Bambini 12 (4er), 2026-05-15, 3:00 PM, 2026-05-15, 8:00 PM, false, , 
